time,N=2,N=20,N=100,N=500,N=1000
0.174,93.7463020779,91.400548247,91.1959265229,91.1386605239,91.1148914387
0.176,91.6361158188,89.302849356,89.1805055301,89.1371525966,89.116894218
0.178,90.4605658829,87.9201483944,87.6687222348,87.569212093,87.538349993
0.18,87.1365737549,84.0800605068,83.696306203,83.6137548043,83.5928749089
0.182,87.1229545269,84.0598980887,83.6727752928,83.5891583539,83.568084249
0.184,86.5782966976,83.3929127555,82.9848763533,82.9086980737,82.8902212841
0.186,87.5658608972,84.5457018975,84.1150348405,84.0112460909,83.9864558524
0.188,88.0426309414,85.1032608722,84.6701470775,84.5627276259,84.5371166531
0.19,90.5872177196,87.655624774,86.7076433683,86.3048219267,86.2091476561
0.192,91.1693079226,88.1533850348,87.0643480888,86.6364609739,86.5398175126
0.194,91.1513714961,88.141662821,87.0566814422,86.6291222776,86.5325698821
0.196,90.996827932,88.0187943992,86.940305537,86.5078022803,86.4104262963
0.198,92.4008777895,89.2918343533,88.2841750792,87.9174607991,87.8312492904
0.2,93.2728667008,89.8899805292,88.6313283695,87.9174641415,87.8312526297
0.202,93.2623925565,89.8836699596,88.626252619,87.9119950992,87.8258066898
0.204,94.7310525069,90.7831720411,89.3244108751,88.5497682718,88.4403203363
0.206,92.9978612656,89.7658401288,88.4302752733,87.6481461414,87.5379758152
0.208,93.3192996295,90.012343119,88.6969217827,87.9294689634,87.8218450718
0.21,93.1856692569,89.9040095556,88.5793696038,87.8081083902,87.7000139156
0.212,95.357687027,91.8141346203,90.678921906,89.9746069781,89.8762542202
0.214,94.3822293015,90.9802941849,89.8190345038,89.1180446084,89.0225457284
0.216,94.2627489749,90.8725465491,89.7039953069,89.000658971,88.9048365252
0.218,92.9481923709,89.8598346495,88.8405467612,88.2397829086,88.1709879208
0.22,91.8448830969,88.9971376725,88.0274848417,87.4294128333,87.3606013499
0.222,90.9790821639,88.1453380267,87.0809496639,86.4356709801,86.357375165
0.224,91.8580403317,89.0023154575,87.981035336,87.3404240073,87.2615807624
0.226,92.2619377393,89.3530960102,88.2979028624,87.6358359799,87.5520373632
0.228,90.5572202662,88.0125868304,87.1553920314,86.5399138977,86.462771709
0.23,89.0337016614,86.5299561112,85.5941053079,84.9185409786,84.8278295763
