time,N=2,N=20,N=100,N=500,N=1000
0.214,94.2159844761,90.7495558756,89.5660616248,89.0737615883,88.9505898045
0.216,94.1109844625,90.6699625645,89.4784004757,88.9850083883,88.8616655604
0.218,92.9565763396,89.9783510776,88.9681442925,88.6544064826,88.5864271433
0.22,91.9881138843,89.3784847234,88.4107857016,88.0957522993,88.0233087816
0.222,91.221930508,88.7271241136,87.6721368672,87.3139800356,87.2306269057
0.224,91.9997663785,89.381683138,88.3627731941,88.0047035362,87.9215462122
0.226,92.3552798426,89.6344682519,88.5727994903,88.1858719278,88.0968386572
0.228,90.8638436963,88.7200850863,87.8590774637,87.4917207334,87.3975422184
0.23,89.5192604995,87.6022280317,86.6889738662,86.2567934805,86.1434596471
0.232,88.8718509829,87.0016466624,86.0320041643,85.5678748261,85.4463371357
0.234,88.3713482981,86.4998342737,85.4746364152,84.9863931895,84.8589990899
0.236,86.9755550714,85.0643533655,83.9137344857,83.3826187361,83.2446710704
0.238,85.8249996096,83.6302193783,82.2045036303,81.5661148478,81.4048813278
0.24,85.9689465045,83.8234027345,82.433981822,81.8076003171,81.6488091481
0.242,86.3177928573,84.2831966701,82.9482042563,82.3304719336,82.1731525605
0.244,87.2349838621,85.2972341475,83.8457481122,83.1316180525,82.9539996441
0.246,88.3562247435,86.3809501155,84.7537787759,84.0258379183,83.8538629375
0.248,88.013716494,86.0918511887,84.5141904255,83.7852033449,83.6123191708
0.25,87.339666562,85.5676362157,84.0471148922,83.3044245608,83.1277510491
0.252,86.1694076842,84.5143839313,82.9271521552,82.1086533562,81.9152864511
0.254,85.4235866861,83.8837244437,82.3035454005,81.4818554885,81.2883140389
0.256,87.031661616,85.4755391123,84.0759635641,83.3487678664,83.1750861254
0.258,85.7116623138,84.51997866,83.5233993823,83.3487620932,83.1750803642
0.26,85.8670903946,84.6531418959,83.6442393821,83.4492794326,83.2757955401
0.262,87.7580929677,86.3546818078,85.3087840315,84.9915479604,84.8270921804
0.264,89.1775643991,87.3537576062,85.9285415933,85.215962832,84.8895090597
0.266,89.2445279749,87.3866620135,85.9431158378,85.2475137256,84.929017852
0.268,88.6978558008,87.119023564,85.6801079276,84.9596647992,84.6236323487
0.27,88.4683897378,86.9812683396,85.5239065755,84.7903565243,84.4470491222
0.272,88.0287125972,86.7085115416,85.2258296531,84.4822345606,84.1299389531
0.274,89.7938183155,88.1221027239,86.9322867515,86.3064751273,86.004326426
0.276,89.5368634147,88.0075721461,86.9322854904,86.3064738752,86.0043251783
0.278,92.12039508,89.5543259988,87.871536088,87.1129912888,86.8561865579
0.28,92.8466230022,89.5543298942,87.8715399102,87.112995078,86.8561903359
0.282,93.1079884848,89.6167856277,87.9331362717,87.198238565,86.9407351972
0.284,93.5829600538,89.8167533475,88.1781394905,87.4800749582,87.2244903637
0.286,92.7556300553,89.3739848702,87.6308266571,86.8773594289,86.6170761204
0.288,93.1485932717,89.6463456664,87.9767396278,87.2558576673,86.9996746223
0.29,94.0888885847,90.3162477401,88.7733663065,88.0932130983,87.8399160448
0.292,93.1533740738,89.7008103151,88.1216145278,87.4396316013,87.1895783782
0.294,92.4010750325,89.0760900924,87.3795493817,86.6515102443,86.3945801601
0.296,92.042935787,88.7715237217,87.0320127699,86.2925600395,86.0346471153
0.298,90.733197267,87.6160285957,85.7315652261,84.9516980159,84.6892279217
0.3,89.6948024621,86.4963867007,84.3689173649,83.5021829569,83.2251204618
0.302,88.627046125,85.1689320773,82.7116412312,81.7333420052,81.4374028966
0.304,88.5933143789,85.1198813741,82.6467286804,81.6631098025,81.3662436584
0.306,87.6028460999,83.9494782013,81.4251218928,80.4976163352,80.2185166342
0.308,88.0428694111,84.5221456786,82.0754172484,81.1658894772,80.8891283081
0.31,85.8865989234,81.8649635002,79.2611153117,78.385082999,78.1239428492
0.312,87.8360779399,84.6124906609,82.4528252326,81.7016888856,81.4592757856
0.314,87.1848307603,83.719333493,81.4753561016,80.7250272116,80.4858960911
0.316,87.7039344095,84.4373937836,82.2648272652,81.5253579496,81.2869057318
0.318,87.8826415754,84.6513690952,82.4643288851,81.7085999255,81.4659634743
0.32,88.6773139762,85.642419091,83.4744946751,82.717149756,82.4729832112
0.322,87.8076779456,84.7011255664,82.6545830427,81.9792901492,81.7558297297
0.324,88.457163039,85.4684596906,83.4359606716,82.7615410229,82.5365953872
0.326,86.1027628314,83.3262440105,82.0804663014,82.1997558767,82.5365863196
0.328,85.513310842,82.6908411083,81.4916253785,81.6913095559,82.1061231379
0.33,85.1008454897,82.2408634241,81.0600784733,81.2970165196,81.7427545238
0.332,85.2000104319,82.3554748149,81.1778942316,81.411049741,81.8521647292
0.334,83.8376788077,80.7694582161,79.5764887237,79.8849628144,80.3891056013
0.336,84.9115866781,81.8186955486,80.3983450112,80.5087158132,80.9213681345
0.338,84.5679547533,81.4565265651,80.0595247202,80.1936293122,80.6228616352
0.34,84.8857850508,81.8012126494,80.3973273439,80.5163548747,80.9337188491
0.342,85.7978080747,82.8634851457,81.4996942734,81.6001030154,81.9912772305
0.344,85.8488009992,82.9196445226,81.5546177849,81.6522898937,82.0418504755
0.346,84.3768465561,81.2854724065,79.9651252862,80.1380328455,80.5741024723
0.348,85.2884826541,82.3454677009,81.049867871,81.2048326404,81.6202955748
0.35,85.3274559625,82.3863821035,81.0877044066,81.2396560535,81.6537440122
0.352,85.7620444385,82.8058475609,81.4408109667,81.5548769813,81.953294033
0.354,86.0314108415,83.0226360678,81.5916466007,81.6762615416,82.0629851172
0.356,84.4085865929,81.7396411816,80.5053030114,80.6276288584,81.0435529992
0.358,84.24290829,81.5746718339,80.3313060008,80.4481143468,80.8653588141
0.36,85.754558108,83.2711663426,82.2213438512,82.4102831696,82.8236657188
0.362,84.9762272318,82.5633146318,81.6727341724,82.0231394928,82.506714655
0.364,83.459363658,81.2172568543,80.5146311926,80.9243283641,81.4333070581
0.366,84.8619113034,82.5893844177,81.8714398794,82.288688154,82.7847340214
0.368,85.6316250617,83.0653170384,81.8714429987,82.2886912893,82.7847371755
