S,V
100.718,0.0260837
100.793,0.0250856
101.604,0.0233551
101.281,0.0197993
101.211,0.025549
100.824,0.029305
100.369,0.0273281
100.123,0.0401968
100.73,0.0396108
101.069,0.0374222
100.975,0.0395496
100.41,0.0328327
100.907,0.0305097
100.626,0.0329903
101.204,0.023969
102.002,0.0245577
102.524,0.0333211
102.095,0.0290613
101.698,0.0280239
100.926,0.0312265
100.869,0.034864
100.45,0.0550801
100.118,0.051509
100.075,0.0352874
100.313,0.0420704
100.621,0.049631
100.084,0.0436481
100.683,0.0342664
100.845,0.027184
100.619,0.0333722
101.456,0.0412577
102.421,0.0341753
102.738,0.0319653
101.466,0.0488404
102.157,0.0424235
101.594,0.051472
100.579,0.0595663
100.901,0.0373837
100.863,0.0464414
101.171,0.0397598
101.095,0.0426381
101.112,0.0438407
101.248,0.0295686
101.188,0.0361916
100.487,0.0276156
100.506,0.0350009
101.158,0.039059
100.125,0.0539751
99.7076,0.0668995
99.4393,0.0235059
100.892,0.0321641
101.314,0.0390579
101.128,0.0478643
100.966,0.0387958
100.983,0.037967
100.965,0.043874
102.43,0.016261
102.597,0.025934
102.847,0.0256257
102.168,0.0313604
101.324,0.0397368
102.439,0.0212836
102.21,0.0360035
101.552,0.0313482
102.687,0.0205661
102.48,0.0308164
103.148,0.0269606
103.649,0.0293932
103.715,0.0358475
103.578,0.035978
103.387,0.0427506
104.721,0.0471916
107.924,0.0242356
108.789,0.0172094
108.818,0.0314427
109.12,0.0220639
108.453,0.0348472
110.018,0.0318336
109.796,0.0411631
108.801,0.0425205
108.04,0.0487216
108.662,0.0393251
108.228,0.0293536
107.93,0.0416907
108.022,0.0436204
106.871,0.0512773
107.111,0.037925
107.205,0.0411687
107.292,0.0422407
106.657,0.0475352
107.744,0.0302867
107.941,0.0456215
107.735,0.0498361
107.546,0.0540137
107.887,0.0573331
108.611,0.0590778
108.53,0.050071
108.012,0.0296767
108.606,0.0342759
108.84,0.0397623
109.187,0.0456563
109.975,0.0196213
109.749,0.0373618
109.319,0.0436945
108.246,0.0511984
108.55,0.0415924
108.421,0.0247236
108.567,0.0243837
108.427,0.0275012
108.578,0.0328753
108.422,0.035256
108.023,0.0353935
107.666,0.0458006
107.033,0.0308118
107.403,0.0331085
107.706,0.0302093
107.946,0.0355182
108.041,0.025825
107.783,0.0323758
107.824,0.0211996
108.301,0.0405829
107.904,0.043584
108.571,0.0414754
108.708,0.0364326
108.046,0.0500668
107.43,0.0451075
107.102,0.061682
107.877,0.0510173
106.08,0.0652825
106.18,0.0543458
105.856,0.0485536
104.852,0.0390332
105.119,0.0378155
105.698,0.0305355
104.472,0.0507042
105.262,0.0364782
106.263,0.0421409
105.432,0.0426273
105.16,0.0407779
104.75,0.0441931
105.138,0.0319931
105.391,0.0377665
105.898,0.0487379
