S,V
80.0576,0.113235
81.5637,0.120326
82.876,0.0870305
82.5342,0.107052
82.0783,0.0979464
83.1873,0.125159
83.0747,0.11154
83.7789,0.113979
84.0415,0.0935403
84.1622,0.0896438
84.9741,0.0853756
85.0643,0.0853424
85.3162,0.062574
84.2966,0.0750376
84.2638,0.0916781
83.631,0.0670817
83.6528,0.0749016
81.2493,0.0942308
82.0954,0.0734902
81.6668,0.0987717
80.3617,0.129673
81.1772,0.0924135
81.1668,0.104835
80.2364,0.0939861
79.399,0.0934898
79.3253,0.0960383
79.0469,0.0821443
79.2879,0.0518876
78.7675,0.0790223
78.946,0.0675381
79.4473,0.0692437
79.0099,0.0684151
78.3143,0.0763102
77.5972,0.0804455
76.9467,0.0908213
78.0195,0.0785754
78.1389,0.0842662
79.1391,0.0562477
79.0449,0.0789363
78.473,0.0781179
79.0164,0.0937731
79.859,0.0693226
79.843,0.0900808
79.0912,0.0882125
78.7719,0.0979078
78.7598,0.0859444
79.8811,0.0652063
79.9287,0.0834319
79.3462,0.076739
78.4932,0.0769699
78.0498,0.0863344
77.4592,0.0806245
76.931,0.0985042
76.7087,0.110632
77.0847,0.0792629
76.4959,0.101044
76.738,0.0932905
76.3964,0.0966422
76.2051,0.107337
74.821,0.106284
74.9845,0.0752996
75.562,0.0767013
75.3979,0.0961245
74.9808,0.108238
74.8384,0.0995946
73.8867,0.128313
73.3025,0.121269
73.0234,0.112107
74.0688,0.0989888
74.5513,0.121217
74.4044,0.099453
74.1001,0.108193
74.042,0.10174
74.436,0.107922
74.8925,0.0913266
73.8149,0.128672
73.3823,0.113538
71.9666,0.126611
72.0006,0.13816
72.1508,0.129545
72.7229,0.109512
71.1504,0.128886
70.9227,0.122089
73.0678,0.105897
74.676,0.0972149
74.2165,0.097511
74.5259,0.0936034
73.37,0.100672
72.5304,0.109288
73.017,0.115904
73.3727,0.0955628
73.3325,0.092671
73.0933,0.0978895
72.2856,0.117568
72.5211,0.114903
71.9028,0.0966585
71.6415,0.0884536
71.0162,0.100886
71.7719,0.104015
69.8067,0.140158
69.9398,0.153237
69.847,0.137828
70.1385,0.106429
70.247,0.133226
69.0172,0.12106
68.4511,0.121344
